id	type	modified	ownerInstitutionCode	dynamicProperties	eventID	parentEventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	eventDate	eventTime	eventRemarks	locationID	country	countryCode	stateProvince	municipality	locality	verbatimLocality	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	footprintWKT	footprintSRS
7024CAA7-2ED4-48C5-8593-00205BAA638E	Event	2018-01-31 15:51:34.25	Fefo	NA	7024CAA7-2ED4-48C5-8593-00205BAA638E		Distance sampling based on line transects	3000	metre	2012-08-12	10:05:00/11:25:00	Line transect	FAACF1A4-8AB5-4037-9FEE-29BA6E0A77C2	Norway	NO	Finnmark	Vadsø	Byvann	Øst Finnmark	In the original data this is known as lineID 821, and reporting level: Øst Finnmark			EPSG:4326		LINESTRING (29.944267064369175 70.12040339865375, 29.86531687229758 70.121685409912487)	GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137,298.257223563]],PRIMEM["Greenwich",0],UNIT["Degree",0.0174532925199433]]
ADD9F0F8-16F8-481E-8522-0020B1DB67F4	Event	2018-01-31 15:51:34.35	Fefo	{ "perpendicular distance in meters from transect line as reported by the field worker":"27" }	ADD9F0F8-16F8-481E-8522-0020B1DB67F4	AF838C57-BD9B-4082-95E8-BEB05D9136B8	Distance sampling based on line transects	NA	NA	2009-08-16	NA	Human observation	18471CEB-24FC-440F-B8FA-1BB28062077C	Norway	NO	Finnmark	Karasjok	Karasjok Iskuras	Indre Finnmark	In the original data this is known as lineID 1062, and reporting level: Indre Finnmark	69.3422	25.2569	EPSG:4326	100	NA	NA
AECA2D89-4C21-4027-92AD-0022BB7A846E	Event	2018-01-31 15:51:34.25	Fefo	NA	AECA2D89-4C21-4027-92AD-0022BB7A846E		Distance sampling based on line transects	2507	metre	2007-08-13	NA	Line transect	C8DAD75E-3D7A-45CF-8A3B-208D2157550D	Norway	NO	Finnmark	Hasvik	Sørøya	Vest Finnmark kyst	In the original data this is known as lineID 954, and reporting level: Vest Finnmark kyst			EPSG:4326		LINESTRING (22.130459744304098 70.602907556189265, 22.13171635786215 70.625319676193186)	GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137,298.257223563]],PRIMEM["Greenwich",0],UNIT["Degree",0.0174532925199433]]
C69AA281-12D0-420D-9810-004C2158361F	Event	2018-01-31 15:51:34.35	Fefo	{ "perpendicular distance in meters from transect line as reported by the field worker":"109" }	C69AA281-12D0-420D-9810-004C2158361F	DB4B5182-9D5E-47CA-BFA0-D398233C1E9D	Distance sampling based on line transects	NA	NA	2010-08-06	21:15:00	Human observation	A08F8D01-EB8F-4D9E-85B1-6851480F43D1	Norway	NO	Finnmark	Porsanger	Leirpollen	Vest Finnmark kyst	In the original data this is known as lineID 1010, and reporting level: Vest Finnmark kyst	70.4567	25.6464	EPSG:4326	100	NA	NA
1CC4A2AE-0166-4F75-9471-00572BB0013A	Event	2018-01-31 15:51:34.25	Fefo	NA	1CC4A2AE-0166-4F75-9471-00572BB0013A		Distance sampling based on line transects	4000	metre	2015-08-15	11:19:00/13:17:00	Line transect	937868A2-7D68-4009-ABAC-0510D7F84CBF	Norway	NO	Finnmark	Tana	Maskevarre	Øst Finnmark	In the original data this is known as lineID 1115, and reporting level: Øst Finnmark			EPSG:4326		LINESTRING (28.03276427133725 70.222349037315922, 28.030971048621645 70.186486813350982)	GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137,298.257223563]],PRIMEM["Greenwich",0],UNIT["Degree",0.0174532925199433]]
0966CC10-E9AE-4665-BA2F-005B88CDE5BA	Event	2018-01-31 15:51:34.35	Fefo	{ "perpendicular distance in meters from transect line as reported by the field worker":"128" }	0966CC10-E9AE-4665-BA2F-005B88CDE5BA	6BD6059A-C1BF-4B85-A137-B72C11D61F9C	Distance sampling based on line transects	NA	NA	2006-08-16	NA	Human observation	4A8540F7-71A3-43C2-BE41-B65070DB1126	Norway	NO	Finnmark	Alta	Stilla – Joatka	Vest Finnmark kyst	In the original data this is known as lineID 946, and reporting level: Vest Finnmark kyst	69.7868	23.7562	EPSG:4326	2000	NA	NA
4406ED49-7519-4119-BD42-006330B95361	Event	2018-01-31 15:51:34.25	Fefo	NA	4406ED49-7519-4119-BD42-006330B95361		Distance sampling based on line transects	3061	metre	2005-08-08	NA	Line transect	E390D79A-AE27-4179-939E-4EAF1E990E46	Norway	NO	Finnmark	Kautokeino	Maze	Indre Finnmark	In the original data this is known as lineID 878, and reporting level: Indre Finnmark			EPSG:4326		LINESTRING (23.505487907855958 69.4675004849234, 23.427639724650962 69.468602788673792)	GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137,298.257223563]],PRIMEM["Greenwich",0],UNIT["Degree",0.0174532925199433]]
58E3A725-A832-4B3A-BA41-006BB82F7432	Event	2018-01-31 15:51:34.35	Fefo	{ "perpendicular distance in meters from transect line as reported by the field worker":"0" }	58E3A725-A832-4B3A-BA41-006BB82F7432	15CFE758-D97C-4391-ADB4-1D0EADAD34FE	Distance sampling based on line transects	NA	NA	2016-08-16	18:05:00	Human observation	55D243A6-41F0-40F7-AFD7-983AB6D89CE3	Norway	NO	Finnmark	Vadsø	Byvann	Øst Finnmark	In the original data this is known as lineID 820, and reporting level: Øst Finnmark	70.1352	29.7961	EPSG:4326	100	NA	NA
757831C3-9210-46A3-ACB2-006D8A6F662B	Event	2018-01-31 15:51:34.25	Fefo	NA	757831C3-9210-46A3-ACB2-006D8A6F662B		Distance sampling based on line transects	3200	metre	2012-08-15	13:00:00/15:30:00	Line transect	6FC2D99C-6794-48D0-B91A-1098F104CF19	Norway	NO	Finnmark	Kautokeino	Stalluvarre	Indre Finnmark	In the original data this is known as lineID 934, and reporting level: Stalluvarre			EPSG:4326		LINESTRING (22.585854549025367 69.213674956645136, 22.643790603075324 69.213124731157791)	GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137,298.257223563]],PRIMEM["Greenwich",0],UNIT["Degree",0.0174532925199433]]
2E4AF963-0E68-4A3E-8BB3-0083388184A1	Event	2018-01-31 15:51:34.25	Fefo	NA	2E4AF963-0E68-4A3E-8BB3-0083388184A1		Distance sampling based on line transects	3349	metre	2016-08-21	13:50:37/15:15:26	Line transect	EA3B0F4F-DE16-403A-8D8E-E16119EDB9A3	Norway	NO	Finnmark	Karasjok	Karasjok Iskuras	Indre Finnmark	In the original data this is known as lineID 1064, and reporting level: Indre Finnmark			EPSG:4326		LINESTRING (25.205295123401203 69.346190038551526, 25.29030832433379 69.34704901578317)	GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137,298.257223563]],PRIMEM["Greenwich",0],UNIT["Degree",0.0174532925199433]]
